"","Adult_1","Adult_2","Adult_3","Fetal_1","Fetal_2","Fetal_3","Neonatal_1","Neonatal_2","Neonatal_3"
"Lsm11",-1.10653056281701,-0.517329155432315,-0.103800926259887,0.342863906936464,0.261196894150233,0.84240755027717,0.287160323119766,0.141095794971001,-0.147063824945422
"Thg1l",0.00158338122831925,-0.293341730103437,0.0464916449581638,-0.0481108440828244,0.0367583110368948,0.406301718050601,-0.0413086112236227,-0.178718253555397,0.070344383691304
"Adam19",-1.39629608762501,-1.08896584846782,-0.940114816763804,0.413296477012706,0.456863899416231,0.427408780553515,0.69961888201588,0.74272864234646,0.685460071511853
"Nipal4",-2.67813403575975,-1.69571772410583,-1.80766934708731,1.73693107888199,1.7229081521554,1.63411949122895,0.612870309723614,0.463637268154479,0.0110548068084664
"Cyfip2",-0.485724900374298,-0.0207944073498476,0.0940678162329718,0.589255347365977,0.714886346687218,0.753134009752848,-0.351558438336791,-0.66329411972535,-0.629971654252724
"Med7",-0.141789501802394,-0.204676578526601,-0.166210354481884,0.0433021271737992,0.140813285461364,0.103097841907793,0.0414420741785593,0.0370145200681531,0.147006586021216
"Havcr2",3.66539923100972,3.35833939423672,3.45509479398719,-2.33445539910057,-2.33445539910057,-1.6459168853828,-1.15346901958884,-1.99247272724185,-1.01806398881898
"Timd2",1.81742441882691,2.04604880323381,2.19910297350159,-1.41058961260422,-1.41058961260422,0.990371867458772,-1.41058961260422,-1.41058961260422,-1.41058961260421
"Sgcd",-4.33129085375689,-2.52613013561497,-3.43435004001341,1.56228107520221,1.89473450703325,1.90358368034148,1.83166326601618,1.61015329965204,1.48935520114011
"Gnb2l1",0.0458421087391052,-0.0168205730243294,0.121388391808646,-0.00961033385715382,-0.147687664351945,-0.243743226698836,0.109201621567468,0.0719713614201538,0.0694583143968917
"Trim41",0.216038451977187,0.118974653518139,0.201617884617177,-0.0465491343048008,-0.0838029020991797,-0.183923402741174,-0.0900630136199672,-0.0268355508752514,-0.105456986472125
"Irgm",1.80086394086938,1.52667467770498,1.52029472920711,-1.77890460982567,-1.42817701940086,-1.65992109219129,0.0443355622509776,-0.0927215353267177,0.0675553467120951
"Ifi47",3.34443077157471,3.21885306140628,3.2127984614139,-2.10494917071263,-2.722450367798,-1.82045853689012,-1.26926079480401,-0.954496198266277,-0.904467225923851
"Mgat1",0.395172268951024,0.0126432642365488,-0.078005612065426,0.00360448677357095,-0.0520849744730407,-0.331981642467079,-0.00397830916474096,-0.00430473175618218,0.058935249965324
"Flt4",-1.41417304702596,-1.54081669960919,-2.94948472233806,1.7555892576384,1.86422718573319,1.7008087821538,0.0864386841414535,0.121392055709802,0.376018503596549
"Cnot6",-0.208290766530514,-0.293373389818397,-0.48743622534638,0.126272605027774,0.15314823422043,0.353338160736083,0.162318093294484,0.156861579257159,0.0371617091593706
"Gfpt2",1.83617627475866,1.28679465311623,0.908559729305735,-1.21410373470927,-1.17251151504488,-1.44135793054758,-0.103344315363164,-0.0277259726004324,-0.0724871889152938
"Mapk9",-0.200027637987044,-0.219669800351912,-0.238665544451814,-0.0863629231505039,0.064740830511278,-0.175036072398554,0.247644695938995,0.311179292551374,0.296197159338185
"Rnf130",1.36963004376034,1.31465590955486,1.41360613469193,-0.935155006997522,-0.77107139938499,-0.987956993292095,-0.450388177831067,-0.485455345022598,-0.467865165478851
"Tbc1d9b",0.292692964400884,0.280879706661183,0.300384791954363,-0.311030734219578,-0.266681631441699,-0.55026930383989,0.0807923254319842,0.0791322601917894,0.0940996208609697
"RGD1564036",-0.236510744229964,-0.221167850531258,-0.23401006234237,0.467961481234947,0.331847875177087,-0.416963105294252,0.051568018204218,0.353488754621705,-0.0962143668401123
"Sqstm1",0.459984662209235,0.439337425092109,0.423291063970407,-0.171997959802235,-0.325734465631733,-0.659381280797985,-0.0398302410546592,-0.0607410327530236,-0.0649281712321041
"Mgat4b",0.522189922958884,0.408313762569851,0.481802904339882,-0.234136545309827,-0.309485243717813,-0.27599161515778,-0.225130660989558,-0.186931961707217,-0.180630562986418
"Maml1",-0.335231306514568,-0.461451092034373,-0.363917113022178,0.0483461858068912,0.10053571415812,-0.270315471486254,0.432477617979103,0.447580621925987,0.401974843187277
"Canx",-0.265447089159711,-0.257236333247565,-0.333215839166559,0.130848042002436,0.218849211803324,0.214422485979091,0.0761417059065117,0.10815730564612,0.107480510236352
"Hnrnph1",-0.58051525889031,-0.35983570590353,-0.560882858197786,0.178793244654774,0.207536357972913,0.676704146781811,0.0898951578851435,0.158474530800472,0.189830384896524
"Rufy1",0.553262182827225,0.609319075875018,0.840817330720895,-0.387697125730779,-0.447210480906207,-0.366097533235926,-0.198750568240153,-0.308308755738182,-0.295334125571883
"Adamts2",0.836416052925637,0.785120277830661,0.689833349361685,-0.691209610363115,-0.817093906429021,-1.77263744491015,0.252966086948003,0.379977271693495,0.336627922942808
"Zfp354c",-0.795117731900082,-0.876670783401117,-1.09062376035059,0.668577937845847,0.759503610384359,0.507964505592038,0.228213303819305,0.364866644715664,0.233286273294583
"Zfp879",-0.790776112291838,0.362348569263792,-1.1530447334983,0.171983225983819,0.18850512327221,0.894552160403864,-0.0700027766929465,0.215358916299286,0.181075627260117
"Zfp2",-0.561859872186341,-0.386774971108621,-1.82437292540695,0.23951447547358,0.594064961645395,1.27827975401243,0.128446629604442,0.332789852160538,0.199912095805529
"Zfp354a",0.0604835355424771,0.0127673433092479,-0.393248188522436,-0.349745147813585,0.060893908767699,0.0249773385633252,0.293969212990887,0.01510073717946,0.274801259982925
"LOC497899",-0.0546550092865704,0.0794430472415527,0.189231710324907,-0.16940128136803,-0.121159693047419,-0.248334823378005,0.417105718489245,0.0337078771412088,-0.12593754611689
"Clk4",0.205848924747982,-0.155291527888986,0.0991462894353052,-0.212186489191015,-0.0107479924687386,-0.122972730622187,0.0321437824076156,0.113004216201149,0.0510555273788791
"Sec24a",-0.879797903893874,-0.914575988688222,-1.04746594114277,0.623683548971997,0.673717593771348,0.422239398011192,0.392948614641079,0.42041326133517,0.308837416994077
"Sar1b",0.0501579008412625,-0.0828493270158415,-0.107488066256535,0.0907685001358898,0.138730771291332,-0.128484987377985,-0.0352167090913733,0.0145917556292519,0.0597901618440009
"Jade2",1.13045592833461,1.0307401343175,0.872602802555515,-0.394233256164308,-0.263472505500656,0.454658319239406,-0.889712325903153,-0.855071635481031,-1.08596746139788
"Cdkn2aipnl",0.902246293885811,1.00159284207315,0.913418659993567,-0.354864555398818,-0.381229203651836,0.353140327667611,-0.797323774791679,-0.889903365314981,-0.747077224462827
"Ube2b",0.374825803133597,0.151805022960263,0.0805694701663464,-0.100639829286658,-0.123499473056986,-0.0511898371636432,-0.140709842568769,-0.104703511065032,-0.0864578031191163
"Cdkl3",-0.104029309702426,-0.63096980762703,-0.34093671293268,0.286316812494264,0.434181023852754,-0.170419023768086,0.333042139148062,0.309301554646022,-0.11648667611088
"Ppp2ca",-0.367248267378276,-0.0922429684061221,-0.137453097440077,0.0736590872723326,0.0156081971234086,0.312988020835252,0.0585053194720091,-0.00304886258768544,0.139232571109162
"Skp1",-0.351163336745991,-0.224448667689211,-0.257934337268013,0.136554768876431,0.177361006743535,0.127812175877667,0.180204987178096,0.0893904122787728,0.122222990748714
"Vdac1",-0.410202592315094,-0.347614803191773,-0.335893899276932,0.161272243942162,0.16015131201717,0.337503394827125,0.13686936634215,0.162832580619582,0.135082397035616
"RGD1310352",0.154169711060348,0.021187378912682,0.0732142012727532,-0.0622017111261339,0.0241549996472976,-0.31489145783702,-0.00381745259974586,0.0257010039374226,0.0824833267323974
"Hspa4",-0.502837563772269,-0.501135696226751,-0.488494435425377,0.328595781590437,0.372987478961432,0.353215292877875,0.145279958321263,0.137949958883645,0.154439224789753
"Zcchc10",-0.458655063188339,-0.481349698277252,-0.319827918203946,0.381594127552309,0.217187989475117,0.247747416664115,0.226087549039133,-0.020899145430564,0.208114742369431
"Aff4",-0.829459263267902,-0.922164141047798,-0.867596895210395,0.422880350992409,0.539941598080051,0.426561574696639,0.426596889019982,0.42137997076536,0.381859915971652
"Uqcrq",0.122785865806462,0.316258791552807,0.462847128476188,0.197858316972827,-0.11703809920815,-0.256341954598126,-0.283233868572886,-0.267088596613969,-0.176047583815147
"Sept8",-0.256576760512887,-0.150364863396998,-0.0328839988757075,-0.308305390258161,-0.348895710932831,-1.26358028654883,0.810379187040175,0.798146313834497,0.752081509650747
"Kif3a",-0.535121922151196,-0.747363610869145,-0.550763792763853,0.246458912632354,0.2885801133952,0.660358341668292,0.298831902829575,0.200403932419054,0.138616122839722
"Rad50",-0.285965181341939,-0.26874232995505,-0.252168710109831,-0.157659072134433,-0.0310444370801477,0.167390174319426,0.301191311903371,0.263013044273374,0.26398520012523
"Irf1",1.45214923907112,1.15844594295671,1.00663952647977,-0.992034412872686,-1.07469975382762,-0.556412494320407,-0.33649467014591,-0.320283035501515,-0.337310341839464
"Slc22a5",0.0760548515519184,0.488417973830545,-0.0649271101556304,-0.00998176572984466,-0.15401785995717,0.0935636465762402,-0.132150435598157,-0.313204029894728,0.0162447293768251
"Pdlim4",-0.264279631153176,0.320001927619924,0.40331430981749,0.559143720131076,0.423384553822939,1.3460019743871,-0.869100787565478,-0.909623469702583,-1.00884259735729
"P4ha2",0.970096922796479,0.557494685120179,0.501146828613569,-0.504514018045207,-0.528422390796615,-0.781222602854755,-0.106024043571582,-0.076787358594677,-0.0317680226673849
"Fnip1",0.180290108613391,0.151785295078981,-0.0612859446416554,-0.45846334485098,-0.216323180993871,-0.307041568562882,0.279593491635243,0.310461810714482,0.12098333300729
"Rapgef6",-0.511075633724614,-0.618238840917385,-0.636691101384299,0.362131792611605,0.458265926415665,0.898758270098122,-0.00618185224540468,0.0617340358240286,-0.00870259667771656
"Cdc42se2",0.170658022767599,0.349476139308906,0.40396371077002,-0.0232942224780919,-0.0302813483313082,-0.0443145090438612,-0.283024251567653,-0.315474663973416,-0.22770887745219
"Lyrm7",-0.00603982864252117,0.321688723204477,0.134853568309877,-0.127966628730012,0.127574628130002,-0.137048622690951,-0.144118258039907,-0.0832599691560678,-0.0856836123848943
"Hint1",0.105411327575595,0.0383670509335099,0.176068831628005,0.291052969813224,0.155501673598425,0.11702681620426,-0.239095418874665,-0.270368243278783,-0.37396500759957
"Gpx3",1.96490273437919,1.55049513682843,1.42043737286125,-0.850380163051504,-0.826001461688892,-0.813531345281321,-0.793530838477961,-0.829259732826989,-0.823131702742204
"Tnip1",1.63397520914974,1.16927864363857,0.87544790532229,-0.649745111378741,-0.682590034565898,-0.530149193414732,-0.597017592902834,-0.568400818910209,-0.650799006938181
"Anxa6",-0.316242440560861,-0.2341527566798,-0.167377675418585,0.121280164658954,0.114135825624714,-0.261699495084175,0.270790903470958,0.243073041432472,0.230192432556326
"Ybx1-ps3",-0.100697955360443,-0.493872813579401,-0.269814072574421,0.0175529750209753,0.218158485795535,-0.356647206356791,0.127737896392463,0.292466078477,0.565116612185083
"Ccdc69",0.719012350654311,0.815272514965606,1.27089051743819,-0.219127070137891,0.730274601246079,0.253572566648403,-1.02873312208218,-0.90398212844317,-1.63718023028934
"Gm2a",2.01424304232412,1.8712765655455,1.91909788943989,-1.00048786354914,-1.0899835973996,-1.65833270381668,-0.705769538030872,-0.666212900678728,-0.683830893834491
"Slc36a1",0.611730765155505,0.247233907680699,0.352508406747368,-0.370178618282769,-0.354367598920492,-0.670599125572266,0.112567996254647,0.175163902989242,-0.104059636051931
"Sparc",-0.48805646081615,-0.298702631343941,-0.178149210346287,-0.0608022418182301,-0.0396836627013677,-0.955851559028231,0.674012177819826,0.680842877714028,0.666390710520364
"Atox1",0.613260946525438,0.684123296244728,0.86913656446554,-0.210672946126102,-0.420653199572913,-0.448870054659641,-0.295866377418454,-0.421037612730877,-0.369420616727717
"G3bp1",-0.365838966114994,-0.269568491724709,-0.185434686114263,0.285744170311288,0.238820485028125,0.422711890295899,-0.019023040918194,-0.0393149743234815,-0.0680963864396666
"Glra1",-1.42844650724566,-1.42844650724566,-0.911365750906967,1.22352350021637,1.34498675071945,0.972514972817326,0.516960505920089,-0.378823271960397,0.089096307685455
"Mfap3",-0.416566705096089,-0.670292956268359,-0.930763904018923,0.253920461024099,0.491592267722042,0.251096409869442,0.409484797100607,0.490599145476685,0.120930484190499
"Galnt10",-0.654768823802226,-0.26386031743785,-0.265614601735442,0.245189346238169,0.195315057099231,0.896775612764671,0.0279079953909962,-0.0512427263585495,-0.129701542158997
"Hand1",-1.24763214942794,-1.24763214942794,-1.24763214942794,1.33115019818945,1.77141425489398,0.87804383585058,-0.28379697902601,-0.0226741224778162,0.0687592608536456
"Cnot8",0.223946774687312,0.237853008616242,0.407235069927094,-0.143092527023537,-0.164206999583881,-0.163916691547532,-0.1007158312258,-0.178066220500501,-0.119036583349398
"Gemin5",-0.707948489862082,-0.44817863668557,-0.293635127209937,0.3820349365419,0.475266691059779,0.402459976359561,0.113433250287037,0.0367812610426261,0.0397861384666918
